x,y,game,position,position_away,dist,dist_away,x_away,y_away,play_index
1.70510249605,32.94,,OG,CB,24.0,24.0,1.34510249605,6.41,133
1.77510249605,31.42,,G,DE,24.0,24.0,-0.0748975039511,35.18,133
1.73510249605,26.55,,T,DE,24.0,24.0,-0.664897503951,25.31,133
0.975102496049,29.67,,C,SS,24.0,24.0,-0.594897503951,18.13,133
5.52510249605,29.75,,QB,NT,24.0,24.0,0.055102496049,32.44,133
1.45510249605,28.12,,G,DE,24.0,24.0,-0.324897503951,28.96,133
1.25510249605,45.61,,WR,ILB,24.0,24.0,-5.53489750395,27.43,133
1.70510249605,17.81,,WR,CB,24.0,24.0,-2.26489750395,45.58,133
-12.342158106,27.87,,LB,RB,24.0,24.0,-12.702158106,33.43,142
-12.232158106,28.64,,TE,LB,24.0,24.0,-13.912158106,26.61,142
-12.552158106,8.48,,FS,LB,24.0,24.0,-14.452158106,27.62,142
-9.71215810601,31.94,,FS,CB,24.0,24.0,-14.832158106,9.8,142
-11.982158106,31.76,,LB,RB,24.0,24.0,-13.912158106,32.03,142
-8.23215810601,30.84,,SS,CB,24.0,24.0,-15.092158106,45.01,142
-12.082158106,45.78,,WR,DE,24.0,24.0,-13.752158106,30.61,142
-9.88215810601,27.56,,FB,CB,24.0,24.0,-14.202158106,33.98,142
-12.232158106,30.67,,ILB,SS,24.0,24.0,-14.272158106,28.76,142
0.767841893992,29.23,,P,SS,24.0,24.0,-14.172158106,25.34,142
-13.092158106,29.96,,LS,WR,24.0,24.0,-63.712158106,30.79,142
37.6534044225,16.16,,ILB,FB,24.0,24.0,35.7034044225,37.49,24
42.6834044225,36.02,,OLB,WR,24.0,24.0,35.7534044225,8.39,24
37.9634044225,24.99,,NT,OG,24.0,24.0,36.0734044225,22.26,24
44.5134044225,43.57,,CB,T,24.0,24.0,34.2634044225,26.79,24
38.1634044225,28.13,,DE,G,24.0,24.0,36.1434044225,23.91,24
46.6434044225,15.95,,FS,RB,24.0,24.0,35.2534044225,45.04,24
42.3034044225,8.58,,CB,QB,24.0,24.0,32.0634044225,23.65,24
37.6934044225,18.14,,LB,G,24.0,24.0,35.9634044225,25.13,24
37.8834044225,21.83,,DE,TE,24.0,24.0,36.5434044225,32.57,24
42.6734044225,30.13,,ILB,WR,24.0,24.0,36.4934044225,14.43,24
53.4734044225,32.71,,SS,OT,24.0,24.0,35.5734044225,20.66,24
25.2190008608,29.11,,DE,T,24.0,24.0,22.9290008608,27.11,48
34.3690008608,8.6,,FS,G,24.0,24.0,23.3390008608,25.34,48
26.4990008608,8.87,,FS,WR,24.0,24.0,23.5390008608,35.71,48
26.8290008608,21.35,,OLB,WR,24.0,24.0,22.5990008608,32.53,48
32.7390008608,38.72,,CB,OG,24.0,24.0,23.5490008608,22.51,48
25.8190008608,26.48,,DE,G,24.0,24.0,23.4690008608,23.85,48
43.5390008608,22.28,,FS,RB,24.0,24.0,19.3190008608,22.6,48
26.7790008608,33.86,,CB,QB,24.0,24.0,19.2990008608,23.96,48
24.9590008608,18.7,,LB,TE,24.0,24.0,19.6990008608,26.44,48
29.2390008608,27.1,,ILB,WR,24.0,24.0,23.8390008608,8.76,48
34.8890008608,29.9,,SS,OT,24.0,24.0,23.1290008608,21.09,48
23.3019680509,22.6,,DE,SS,24.0,24.0,18.0619680509,28.3,115
23.7919680509,21.07,,LB,LS,24.0,24.0,22.3119680509,23.62,115
24.0719680509,41.14,,FS,LB,24.0,24.0,21.1019680509,25.16,115
24.9119680509,22.61,,FS,LB,24.0,24.0,21.4319680509,22.4,115
